Time,Time Code,Country Name,Country Code,GDP ,Exports,Expenditure 
2013,YR2013,Andorra,AND,3193704343,NA,NA
2013,YR2013,Antigua and Barbuda,ATG,1181448148,952148148.1,202888888.9
2013,YR2013,Aruba,ABW,2727932961,2088268156,714525139.7
2013,YR2013,Australia,AUS,1.58E+12,3.15E+11,2.96E+11
2013,YR2013,Austria,AUT,4.30E+11,2.30E+11,85676589243
2013,YR2013,"Bahamas, The",BHS,10562800000,4202800000,1344200000
2013,YR2013,Bahrain,BHR,32539468085,34102925532,5060611702
2013,YR2013,Barbados,BRB,4677248300,1914200000,691770900
2013,YR2013,Belgium,BEL,5.22E+11,4.14E+11,1.27E+11
2013,YR2013,Bermuda,BMU,6465756000,3337183000,882953000
2013,YR2013,British Virgin Islands,VGB,NA,NA,NA
2013,YR2013,Brunei Darussalam,BRN,18093829923,12311381074,3648497442
2013,YR2013,Canada,CAN,1.85E+12,5.60E+11,3.82E+11
2013,YR2013,Cayman Islands,CYM,4405954638,NA,NA
2013,YR2013,Channel Islands,CHI,NA,NA,NA
2013,YR2013,Chile,CHL,2.77E+11,88959111212,35446684814
2013,YR2013,Croatia,HRV,59032066092,23470755730,12803812700
2013,YR2013,Curacao,CUW,3039944134,2226256983,425251396.6
2013,YR2013,Cyprus,CYP,23961144906,14687364856,4410280250
2013,YR2013,Czechia,CZE,2.12E+11,1.61E+11,41751029394
2013,YR2013,Denmark,DNK,3.44E+11,1.88E+11,89357668171
2013,YR2013,Estonia,EST,25115753366,21239933055,4682779520
2013,YR2013,Faroe Islands,FRO,2690116269,1491480156,817798194.5
2013,YR2013,Finland,FIN,2.71E+11,1.03E+11,66582541660
2013,YR2013,France,FRA,2.81E+12,8.26E+11,6.78E+11
2013,YR2013,French Polynesia,PYF,6031828532,NA,NA
2013,YR2013,Germany,DEU,3.73E+12,1.70E+12,7.33E+11
2013,YR2013,Gibraltar,GIB,NA,NA,NA
2013,YR2013,Greece,GRC,2.39E+11,72167340436,49510738400
2013,YR2013,Greenland,GRL,2684952727,1012250058,1284831651
2013,YR2013,Guam,GUM,5399000000,1053000000,NA
2013,YR2013,"Hong Kong SAR, China",HKG,2.76E+11,6.11E+11,25602372357
2013,YR2013,Hungary,HUN,1.36E+11,1.16E+11,26761027292
2013,YR2013,Iceland,ISL,16125060515,8586232154,3926469415
2013,YR2013,Ireland,IRL,2.38E+11,2.48E+11,40840697513
2013,YR2013,Isle of Man,IMN,7000748788,NA,NA
2013,YR2013,Israel,ISR,2.98E+11,98956775008,65822886236
2013,YR2013,Italy,ITA,2.14E+12,6.13E+11,4.24E+11
2013,YR2013,Japan,JPN,5.21E+12,8.23E+11,1.03E+12
2013,YR2013,"Korea, Rep.",KOR,1.37E+12,7.03E+11,2.05E+11
2013,YR2013,Kuwait,KWT,1.74E+11,1.23E+11,28539492243
2013,YR2013,Latvia,LVA,30204783462,18242231299,5394023067
2013,YR2013,Liechtenstein,LIE,6391735894,NA,NA
2013,YR2013,Lithuania,LTU,46523420074,36599310829,7749169287
2013,YR2013,Luxembourg,LUX,65203276467,1.15E+11,10660958891
2013,YR2013,"Macao SAR, China",MAC,51536304808,46720613821,3350230934
2013,YR2013,Malta,MLT,10551600478,16457696905,1979678576
2013,YR2013,Monaco,MCO,6555983530,NA,NA
2013,YR2013,Nauru,NRU,98491843.64,95413973.53,NA
2013,YR2013,Netherlands,NLD,8.77E+11,7.01E+11,2.26E+11
2013,YR2013,New Caledonia,NCL,10151385306,1596112196,2452470890
2013,YR2013,New Zealand,NZL,1.91E+11,55007020975,35779657778
2013,YR2013,Northern Mariana Islands,MNP,772000000,402000000,NA
2013,YR2013,Norway,NOR,5.23E+11,2.05E+11,1.10E+11
2013,YR2013,Oman,OMN,89936020806,59385175553,16995318596
2013,YR2013,Panama,PAN,45599900000,29713600000,4885000000
2013,YR2013,Poland,POL,5.16E+11,2.37E+11,95016136177
2013,YR2013,Portugal,PRT,2.26E+11,89682537232,42678471553
2013,YR2013,Puerto Rico,PRI,1.02E+11,62361300000,10589400000
2013,YR2013,Qatar,QAT,1.99E+11,1.45E+11,28926280495
2013,YR2013,Romania,ROU,1.90E+11,76385528411,27061930947
2013,YR2013,San Marino,SMR,1678841812,NA,NA
2013,YR2013,Saudi Arabia,SAU,7.47E+11,3.88E+11,1.68E+11
2013,YR2013,Seychelles,SYC,1328091522,1206057239,238526127.2
2013,YR2013,Singapore,SGP,3.08E+11,6.00E+11,29970910253
2013,YR2013,Sint Maarten (Dutch part),SXM,1022905028,1241284916,NA
2013,YR2013,Slovak Republic,SVK,98935222175,92447056102,17883425490
2013,YR2013,Slovenia,SVN,48415657265,35932394253,9509241489
2013,YR2013,Spain,ESP,1.36E+12,4.47E+11,2.70E+11
2013,YR2013,St. Kitts and Nevis,KNA,875376407.4,NA,NA
2013,YR2013,St. Martin (French part),MAF,NA,NA,NA
2013,YR2013,Sweden,SWE,5.87E+11,2.50E+11,1.54E+11
2013,YR2013,Switzerland,CHE,7.06E+11,5.09E+11,80599621375
2013,YR2013,Trinidad and Tobago,TTO,28557451143,NA,NA
2013,YR2013,Turks and Caicos Islands,TCA,754238000,NA,NA
2013,YR2013,United Arab Emirates,ARE,4.00E+11,3.92E+11,42851083186
2013,YR2013,United Kingdom,GBR,2.79E+12,8.37E+11,5.61E+11
2013,YR2013,United States,USA,1.68E+13,2.29E+12,2.53E+12
2013,YR2013,Uruguay,URY,57531233351,13435347409,7779620630
2013,YR2013,Virgin Islands (U.S.),VIR,3738000000,2525000000,1043000000
2014,YR2014,Andorra,AND,3271808157,NA,NA
2014,YR2014,Antigua and Barbuda,ATG,1249733333,1027296296,208918518.5
2014,YR2014,Aruba,ABW,2791061453,2184357542,692737430.2
2014,YR2014,Australia,AUS,1.47E+12,3.10E+11,2.74E+11
2014,YR2014,Austria,AUT,4.43E+11,2.36E+11,87644371858
2014,YR2014,"Bahamas, The",BHS,11176100000,4214500000,1339200000
2014,YR2014,Bahrain,BHR,33387712766,32069148936,5383856383
2014,YR2014,Barbados,BRB,4696344350,1879250000,673830500
2014,YR2014,Belgium,BEL,5.35E+11,4.27E+11,1.30E+11
2014,YR2014,Bermuda,BMU,6413988000,3281476000,823230000
2014,YR2014,British Virgin Islands,VGB,NA,NA,NA
2014,YR2014,Brunei Darussalam,BRN,17098342541,11657150750,3662194159
2014,YR2014,Canada,CAN,1.81E+12,5.73E+11,3.66E+11
2014,YR2014,Cayman Islands,CYM,4563017881,NA,NA
2014,YR2014,Channel Islands,CHI,NA,NA,NA
2014,YR2014,Chile,CHL,2.59E+11,85613841161,34309777622
2014,YR2014,Croatia,HRV,58423981441,24940444721,12855765080
2014,YR2014,Curacao,CUW,3048435754,2284301676,474860335.2
2014,YR2014,Cyprus,CYP,23226782251,15318458881,3887338913
